Domain,L0,Time Used,Time
netflix.com,Fun,52,2017-02-13T20:46:17.734Z
netflix.com,Fun,2,2017-02-13T20:45:00.918Z
netflix.com,Fun,3,2017-02-13T20:44:58.096Z
netflix.com,Fun,3,2017-02-13T20:44:54.542Z
netflix.com,Fun,2,2017-02-13T20:44:52.850Z
mail.google.com,Comms,1,2017-02-13T20:44:47.034Z
mail.google.com,Comms,4,2017-02-13T20:44:32.724Z
mail.google.com,Comms,4,2017-02-13T20:44:28.999Z
mail.google.com,Comms,5,2017-02-13T20:44:24.382Z
mail.google.com,Comms,4,2017-02-13T20:44:20.491Z
mlab.com,Other,9,2017-02-13T20:44:08.900Z
mlab.com,Other,3,2017-02-13T20:44:05.764Z
stackoverflow.com,Work,3,2017-02-13T20:43:53.407Z
google.com,Find,11,2017-02-13T20:43:42.336Z
mail.google.com,Comms,6,2017-02-13T20:41:12.033Z
mail.google.com,Comms,2,2017-02-13T20:41:09.923Z
mail.google.com,Comms,3,2017-02-13T20:41:06.586Z
mail.google.com,Comms,6,2017-02-13T20:41:01.049Z
mail.google.com,Comms,6,2017-02-13T20:40:54.831Z
mail.google.com,Comms,12,2017-02-13T20:40:42.340Z
mail.google.com,Comms,3,2017-02-13T20:40:39.173Z
mail.google.com,Comms,2,2017-02-13T20:39:06.747Z
mail.google.com,Comms,7,2017-02-13T20:39:00.227Z
mail.google.com,Comms,3,2017-02-13T20:38:57.436Z
mail.google.com,Comms,10,2017-02-13T20:38:47.357Z
mail.google.com,Comms,1,2017-02-13T20:38:46.099Z
mail.google.com,Comms,10,2017-02-13T20:38:36.551Z
mail.google.com,Comms,6,2017-02-13T20:38:30.622Z
mail.google.com,Comms,2,2017-02-13T20:38:28.345Z
gitlab.com,Work,600,2017-02-13T20:38:27.684Z
facebook.com,Social,3,2017-02-13T20:26:47.900Z
yelp.com,Find,78,2017-02-13T20:24:10.426Z
yelp.com,Find,45,2017-02-13T20:23:25.009Z
yelp.com,Find,19,2017-02-13T20:23:06.158Z
yelp.com,Find,2,2017-02-13T20:23:03.087Z
yelp.com,Find,2,2017-02-13T20:23:02.177Z
yelp.com,Find,12,2017-02-13T20:22:50.375Z
yelp.com,Find,2,2017-02-13T20:22:47.966Z
yelp.com,Find,5,2017-02-13T20:22:42.697Z
yelp.com,Find,11,2017-02-13T20:22:31.974Z
yelp.com,Find,49,2017-02-13T20:21:42.752Z
yelp.com,Find,7,2017-02-13T20:21:35.880Z
yelp.com,Find,13,2017-02-13T20:21:23.212Z
chaatbhavan.com,Other,2,2017-02-13T20:21:13.189Z
yelp.com,Find,6,2017-02-13T20:21:06.883Z
google.com,Find,1,2017-02-13T20:20:58.406Z
airbnb.io,Other,600,2017-02-13T20:20:56.434Z
yelp.com,Find,1,2017-02-13T20:20:52.958Z
yelp.com,Find,8,2017-02-13T20:20:44.795Z
yelp.com,Find,11,2017-02-13T20:20:31.854Z
yelp.com,Find,1,2017-02-13T20:20:25.188Z
yelp.com,Find,2,2017-02-13T20:20:20.609Z
yelp.com,Find,6,2017-02-13T20:20:15.102Z
yelp.com,Find,14,2017-02-13T20:19:58.847Z
yelp.com,Find,2,2017-02-13T20:19:56.704Z
airbnb.io,Other,26,2017-02-13T20:19:30.577Z
yelp.com,Find,34,2017-02-13T20:18:41.133Z
yelp.com,Find,30,2017-02-13T20:17:29.707Z
yelp.com,Find,8,2017-02-13T20:17:06.382Z
yelp.com,Find,1,2017-02-13T20:16:41.281Z
yelp.com,Find,1,2017-02-13T20:15:53.375Z
yelp.com,Find,6,2017-02-13T20:15:47.769Z
google.com,Find,2,2017-02-13T20:15:45.841Z
yelp.com,Find,3,2017-02-13T20:15:30.555Z
chaatbhavan.com,Other,5,2017-02-13T20:15:14.138Z
yelp.com,Find,3,2017-02-13T20:15:11.610Z
yelp.com,Find,2,2017-02-13T20:15:09.206Z
yelp.com,Find,2,2017-02-13T20:15:06.698Z
yelp.com,Find,4,2017-02-13T20:15:02.415Z
yelp.com,Find,7,2017-02-13T20:14:50.290Z
yelp.com,Find,2,2017-02-13T20:14:48.064Z
yelp.com,Find,7,2017-02-13T20:14:27.179Z
yelp.com,Find,5,2017-02-13T20:14:17.897Z
yelp.com,Find,17,2017-02-13T20:13:59.501Z
yelp.com,Find,4,2017-02-13T20:13:53.365Z
yelp.com,Find,3,2017-02-13T20:13:45.915Z
google.com,Find,2,2017-02-13T20:13:43.908Z
yelp.com,Find,4,2017-02-13T20:13:39.822Z
eat24hrs.com,Other,1,2017-02-13T20:13:38.035Z
eat24hrs.com,Other,1,2017-02-13T20:13:37.069Z
yelp.com,Find,1,2017-02-13T20:13:36.039Z
yelp.com,Find,10,2017-02-13T20:13:25.972Z
yelp.com,Find,1,2017-02-13T20:13:24.889Z
yelp.com,Find,11,2017-02-13T20:13:13.234Z
yelp.com,Find,13,2017-02-13T20:13:00.643Z
google.com,Find,20,2017-02-13T20:12:35.638Z
eat24hrs.com,Other,1,2017-02-13T20:12:27.090Z
eat24hrs.com,Other,15,2017-02-13T20:12:12.525Z
eat24hrs.com,Other,1,2017-02-13T20:12:11.370Z
swaadindiancuisine.com,Other,8,2017-02-13T20:12:02.985Z
yelp.com,Find,1,2017-02-13T20:12:01.509Z
yelp.com,Find,5,2017-02-13T20:11:56.592Z
yelp.com,Find,18,2017-02-13T20:11:38.186Z
yelp.com,Find,4,2017-02-13T20:11:34.238Z
google.com,Find,10,2017-02-13T20:11:23.677Z
google.com,Find,3,2017-02-13T20:11:21.171Z
google.com,Find,1,2017-02-13T20:11:19.945Z
google.com,Find,5,2017-02-13T20:11:14.833Z
google.com,Find,2,2017-02-13T20:11:13.303Z
google.com,Find,3,2017-02-13T20:11:10.728Z
google.com,Find,8,2017-02-13T20:11:02.449Z
google.com,Find,11,2017-02-13T20:10:51.941Z
yelp.com,Find,4,2017-02-13T20:10:48.213Z
sharp.readthedocs.io,Other,2,2017-02-13T20:10:44.671Z
danyow.net,Other,1,2017-02-13T20:10:43.200Z
sharp.readthedocs.io,Other,2,2017-02-13T20:10:42.929Z
cloudinary.com,Other,2,2017-02-13T20:10:40.914Z
npmjs.com,Other,1,2017-02-13T20:10:36.816Z
npmjs.com,Other,286,2017-02-13T20:05:50.429Z
npmjs.com,Other,11,2017-02-13T20:05:16.315Z
npmjs.com,Other,1,2017-02-13T20:05:06.070Z
npmjs.com,Other,2,2017-02-13T20:04:52.515Z
npmjs.com,Other,1,2017-02-13T20:04:51.052Z
fengyuanchen.github.io,Other,5,2017-02-13T20:04:45.680Z
fengyuanchen.github.io,Other,1,2017-02-13T20:04:44.239Z
npmjs.com,Other,1,2017-02-13T20:04:42.973Z
fengyuanchen.github.io,Other,1,2017-02-13T20:04:41.656Z
npmjs.com,Other,2,2017-02-13T20:04:39.962Z
npmjs.com,Other,1,2017-02-13T20:04:38.374Z
fengyuanchen.github.io,Other,1,2017-02-13T20:04:37.311Z
npmjs.com,Other,8,2017-02-13T20:04:28.598Z
npmjs.com,Other,2,2017-02-13T20:04:25.436Z
npmjs.com,Other,8,2017-02-13T20:04:17.304Z
npmjs.com,Other,7,2017-02-13T20:03:44.192Z
fengyuanchen.github.io,Other,11,2017-02-13T20:03:33.611Z
npmjs.com,Other,2,2017-02-13T20:03:10.438Z
npmjs.com,Other,4,2017-02-13T20:03:05.232Z
cloudinary.com,Other,467,2017-02-13T20:02:53.553Z
cloudinary.com,Other,2,2017-02-13T20:02:04.550Z
danyow.net,Other,7,2017-02-13T20:01:57.779Z
sharp.readthedocs.io,Other,1,2017-02-13T20:01:55.945Z
npmjs.com,Other,38,2017-02-13T20:01:17.722Z
npmjs.com,Other,21,2017-02-13T20:00:56.985Z
npmjs.com,Other,2,2017-02-13T20:00:54.601Z
npmjs.com,Other,10,2017-02-13T20:00:44.811Z
npmjs.com,Other,6,2017-02-13T20:00:39.246Z
derby-demos.herokuapp.com,Other,1,2017-02-13T20:00:37.907Z
npmjs.com,Other,6,2017-02-13T20:00:29.805Z
google.com,Find,10,2017-02-13T20:00:20.224Z
google.com,Find,10,2017-02-13T20:00:20.191Z
google.com,Find,1,2017-02-13T20:00:15.970Z
npmjs.com,Other,24,2017-02-13T19:59:44.182Z
danyow.net,Other,2,2017-02-13T19:59:42.300Z
npmjs.com,Other,13,2017-02-13T19:59:25.482Z
npmjs.com,Other,18,2017-02-13T19:59:07.786Z
google.com,Find,12,2017-02-13T19:58:55.900Z
docs.codeclimate.com,Other,21,2017-02-13T19:58:34.469Z
freelancer.com,Work,2,2017-02-13T19:58:32.405Z
google.com,Find,5,2017-02-13T19:58:26.569Z
scotch.io,Read,21,2017-02-13T19:57:48.622Z
scotch.io,Read,1,2017-02-13T19:57:47.319Z
google.com,Find,10,2017-02-13T19:57:34.374Z
google.com,Find,2,2017-02-13T19:57:32.054Z
gitlab.com,Work,11,2017-02-13T19:57:14.669Z
gitlab.com,Work,67,2017-02-13T19:56:07.244Z
gitlab.com,Work,2,2017-02-13T19:55:58.930Z
gitlab.com,Work,4,2017-02-13T19:55:13.058Z
brandentrepreneurs.com,Other,5,2017-02-13T19:54:48.983Z
gitlab.com,Work,5,2017-02-13T19:54:43.870Z
gitlab.com,Work,1,2017-02-13T19:54:42.851Z
gitlab.com,Work,2,2017-02-13T19:54:40.418Z
gitlab.com,Work,2,2017-02-13T19:54:38.556Z
gitlab.com,Work,22,2017-02-13T19:53:51.883Z
gitlab.com,Work,8,2017-02-13T19:53:43.540Z
gitlab.com,Work,3,2017-02-13T19:53:40.098Z
gitlab.com,Work,14,2017-02-13T19:53:26.271Z
gitlab.com,Work,2,2017-02-13T19:53:11.882Z
gitlab.com,Work,1,2017-02-13T19:53:10.339Z
gitlab.com,Work,12,2017-02-13T19:52:58.725Z
gitlab.com,Work,2,2017-02-13T19:52:56.203Z
gitlab.com,Work,12,2017-02-13T19:52:44.169Z
gitlab.com,Work,4,2017-02-13T19:52:39.701Z
gitlab.com,Work,5,2017-02-13T19:52:35.170Z
gitlab.com,Work,13,2017-02-13T19:52:22.567Z
gitlab.com,Work,1,2017-02-13T19:51:34.205Z
gitlab.com,Work,5,2017-02-13T19:51:28.492Z
ted.com,Fun,2,2017-02-13T19:51:26.080Z
yelp.com,Find,3,2017-02-13T19:51:22.814Z
linkedin.com,Social,1,2017-02-13T19:51:20.502Z
freelancer.com,Work,3,2017-02-13T19:51:17.734Z
gitlab.com,Work,15,2017-02-13T19:50:30.964Z
gitlab.com,Work,10,2017-02-13T19:50:10.180Z
gitlab.com,Work,9,2017-02-13T19:50:01.619Z
gitlab.com,Work,5,2017-02-13T19:49:56.118Z
gitlab.com,Work,80,2017-02-13T19:48:35.811Z
mail.google.com,Comms,1,2017-02-13T19:48:34.587Z
airbnb.io,Other,600,2017-02-13T19:48:31.044Z
freelancer.com,Work,3,2017-02-13T19:48:27.854Z
gitlab.com,Work,25,2017-02-13T19:47:56.722Z
mail.google.com,Comms,2,2017-02-13T19:47:55.169Z
gitlab.com,Work,19,2017-02-13T19:47:36.206Z
mail.google.com,Comms,2,2017-02-13T19:47:34.308Z
mail.google.com,Comms,2,2017-02-13T19:47:31.911Z
gitlab.com,Work,6,2017-02-13T19:47:25.623Z
mail.google.com,Comms,2,2017-02-13T19:47:21.112Z
mail.google.com,Comms,2,2017-02-13T19:47:19.460Z
mail.google.com,Comms,2,2017-02-13T19:47:17.541Z
